attempt_id,test_id,user_id,start_time,end_time,test_type,score,is_free,questions_count,correct_answers_count,total_time_taken,test_completed,upgrade_now_email_status,test_result_email_status
63036,36,19544,1/01/2017 0:33,1/01/2017 0:57,3,44,1,25,11,1482,1,1,0
63037,45,19694,1/01/2017 0:42,1/01/2017 1:02,2,40,1,25,10,1177,1,0,1
63038,45,19695,1/01/2017 1:21,1/01/2017 1:40,2,24,1,25,6,1197,1,0,1
63039,45,19691,1/01/2017 1:28,1/01/2017 1:47,2,84,1,25,21,1162,1,0,0
63040,26,19691,1/01/2017 1:53,1/01/2017 2:03,1,48,1,25,12,573,1,1,0
63041,26,19696,1/01/2017 2:04,1/01/2017 2:21,1,40,1,25,10,1007,1,0,1
63042,36,19695,1/01/2017 2:05,1/01/2017 2:29,3,48,1,25,12,1408,1,0,0
63043,36,19697,1/01/2017 2:13,1/01/2017 2:37,3,60,1,25,15,1426,1,0,1
63044,26,19544,1/01/2017 2:32,1/01/2017 2:48,1,64,1,25,16,937,1,0,0
63045,45,19694,1/01/2017 2:57,1/01/2017 3:16,2,52,1,25,13,1170,1,0,0
63046,26,19698,1/01/2017 3:27,1/01/2017 3:41,1,60,1,25,15,834,1,0,1
63047,26,19698,1/01/2017 3:57,1/01/2017 4:02,1,96,1,25,24,246,1,0,0
63048,26,19699,1/01/2017 4:08,1/01/2017 4:27,1,56,1,25,14,1148,1,0,1
63049,26,19695,1/01/2017 4:21,1/01/2017 4:39,1,64,1,25,16,1094,1,1,0
63050,45,19699,1/01/2017 4:40,1/01/2017 4:58,2,28,1,25,7,1062,1,0,0
63051,19,19511,1/01/2017 6:31,1/01/2017 6:49,2,56,0,25,14,1130,1,0,0
63052,19,19511,1/01/2017 6:51,1/01/2017 7:04,2,100,0,25,25,790,1,0,0
63053,26,19700,1/01/2017 6:55,1/01/2017 7:09,1,72,1,25,18,865,1,0,1
63054,36,19695,1/01/2017 8:03,1/01/2017 8:21,3,48,1,25,12,1073,1,0,0
63055,26,19701,1/01/2017 8:25,1/01/2017 8:34,1,28,1,25,7,596,1,0,1
63056,45,19656,1/01/2017 10:06,1/01/2017 10:25,2,32,1,25,8,1113,1,1,1
63057,45,19702,1/01/2017 10:40,1/01/2017 10:59,2,28,1,25,7,1168,1,0,1
63058,36,19702,1/01/2017 11:02,1/01/2017 11:24,3,20,1,25,5,1294,1,0,0
63059,45,19703,1/01/2017 11:06,1/01/2017 11:26,2,48,1,25,12,1197,1,0,1
63060,36,8504,1/01/2017 11:10,1/01/2017 11:35,3,48,1,25,12,1481,1,0,0
63061,45,19656,1/01/2017 11:26,1/01/2017 11:45,2,88,1,25,22,1116,1,0,0
63062,35,12142,1/01/2017 11:57,1/01/2017 12:11,1,88,0,25,22,860,1,0,0
63063,29,8504,1/01/2017 12:28,1/01/2017 12:50,3,28,0,25,7,1373,1,0,0
63064,34,8504,1/01/2017 12:57,1/01/2017 13:16,1,52,0,25,13,1133,1,0,0
63065,36,19704,1/01/2017 13:23,1/01/2017 13:37,3,64,1,25,16,842,1,0,1
63066,26,19705,1/01/2017 16:36,1/01/2017 16:52,1,68,1,25,17,996,1,0,1
63067,36,377,1/01/2017 17:14,1/01/2017 17:19,3,52,1,25,13,301,1,0,0
63068,26,19706,1/01/2017 19:26,1/01/2017 19:44,1,68,1,25,17,1089,1,0,1
63069,35,4990,1/01/2017 19:53,1/01/2017 20:06,1,36,0,25,9,776,1,0,0
63070,26,19707,1/01/2017 19:56,1/01/2017 20:15,1,48,1,25,12,1197,1,0,1
63071,26,19708,1/01/2017 20:50,1/01/2017 21:07,1,52,1,25,13,1013,1,0,1
63072,26,19707,1/01/2017 21:16,1/01/2017 21:23,1,76,1,25,19,435,1,0,0
63073,45,19706,1/01/2017 21:04,1/01/2017 21:22,2,36,1,25,9,1132,1,0,0
63074,45,19706,1/01/2017 21:24,1/01/2017 21:39,2,28,1,25,7,884,1,1,0
63075,36,19709,1/01/2017 21:14,1/01/2017 21:39,3,48,1,25,12,1494,1,0,1
63076,36,19710,1/01/2017 21:49,1/01/2017 22:14,3,20,1,25,5,1483,1,0,1
63077,26,19711,1/01/2017 22:12,1/01/2017 22:27,1,44,1,25,11,877,1,0,1
63078,26,19711,1/01/2017 22:38,1/01/2017 22:41,1,84,1,25,21,183,1,0,0
63079,26,19712,1/01/2017 22:40,1/01/2017 22:51,1,56,1,25,14,651,1,0,1
63080,45,19711,1/01/2017 22:43,1/01/2017 23:03,2,20,1,25,5,1160,1,1,0
63081,36,19712,1/01/2017 22:58,1/01/2017 23:08,3,12,1,25,3,581,1,0,0
63082,45,19713,1/01/2017 22:59,1/01/2017 23:15,2,56,1,25,14,985,1,0,1
63083,36,19711,1/01/2017 23:06,1/01/2017 23:31,3,36,1,25,9,1495,1,0,0
63084,36,19714,1/01/2017 23:13,1/01/2017 23:36,3,36,1,25,9,1344,1,0,1
63085,45,19713,1/01/2017 23:24,1/01/2017 23:41,2,88,1,25,22,1052,1,0,0
63086,36,19713,1/01/2017 23:48,1/01/2017 23:48,3,4,1,25,1,42,1,0,0
63087,26,19714,1/01/2017 23:41,1/01/2017 23:54,1,48,1,25,12,739,1,0,0
63088,45,19715,1/01/2017 23:56,2/01/2017 0:15,2,56,1,25,14,1165,1,0,1
63089,26,19713,2/01/2017 0:08,2/01/2017 0:18,1,64,1,25,16,587,1,0,0
63090,26,19713,2/01/2017 0:22,2/01/2017 0:25,1,96,1,25,24,188,1,1,0
63091,45,19716,2/01/2017 0:35,2/01/2017 0:55,2,68,1,25,17,1193,1,0,1
63092,26,19717,2/01/2017 0:45,2/01/2017 0:56,1,40,1,25,10,646,1,0,1
63093,36,19713,2/01/2017 0:34,2/01/2017 0:49,3,48,1,25,12,907,1,0,0
63094,45,19718,2/01/2017 1:43,2/01/2017 2:03,2,60,1,25,15,1187,1,0,1
63095,25,19520,2/01/2017 2:16,2/01/2017 2:27,1,44,0,25,11,644,1,0,0
63096,36,19710,2/01/2017 2:57,2/01/2017 3:22,3,44,1,25,11,1498,1,0,0
63097,36,19719,2/01/2017 2:57,2/01/2017 3:16,3,44,1,25,11,1168,1,0,1
63098,45,19712,2/01/2017 3:06,2/01/2017 3:24,2,52,1,25,13,1109,1,1,0
63099,45,19720,2/01/2017 3:41,2/01/2017 3:59,2,36,1,25,9,1105,1,0,1
